Gene,Non-unique Gene name,Annotation,FF06741431_G.swidsinskii,FF06741441_G.leopoldii,FF06741443_G.vaginalis_A,FF06741449_G.leopoldii,FF06741453_G.vaginalis,FF06741457_G.vaginalis_A,FF06741457_G.vaginalis_E,FF06741459_G.vaginalis_A,FF06741461_G.vaginalis_A,FF06741463_G.piotii,FF06741464_G.swidsinskii,FF06741735_G.sp947289115,FF06741736_G.vaginalis_C,FF06741741_G.swidsinskii,FF06741742_G.swidsinskii,FF06741746_G.sp947289115,FF06741748_G.swidsinskii,FF06741748_G.vaginalis,FF06741749_G.leopoldii,FF06741751_G.swidsinskii,FF06742652_G.swidsinskii,FS42685545_G.vaginalis,FS42685549_G.piotii,FS42685557_G.vaginalis_A,FS42685567_G.vaginalis,FS42685569_G.piotii,FS42685570_G.piotii,FS42685571_G.swidsinskii,FS42685572_G.swidsinskii,FS42685572_G.vaginalis,FS42685575_G.swidsinskii,FS42685576_G.vaginalis_H,FS42685584_G.leopoldii,FS42685584_G.piotii,FS42686173_G.leopoldii,FS42686174_G.piotii,FS42686174_G.swidsinskii,FS42686177_G.swidsinskii,FS42686179_G.piotii,FS42686179_G.swidsinskii,FS42686180_G.vaginalis,FS42686185_G.piotii,FS42686188_G.vaginalis,FS42686194_G.vaginalis,FS42686197_G.leopoldii,FS42686197_G.vaginalis,FS42686200_G.vaginalis_H,FS42686202_G.vaginalis_C,FS42686203_G.swidsinskii,FS42686210_G.swidsinskii,FS42686210_G.vaginalis,FS42686216_G.vaginalis,FS42687147_G.vaginalis,FS42687148_G.leopoldii,FS42687152_G.vaginalis,FS42687153_G.vaginalis_H,FS42687157_G.vaginalis,FS42687160_G.vaginalis,FS42687164_G.leopoldii,FS42687167_G.piotii,FS42687180_G.swidsinskii
rbfA,rbfA,Ribosome-binding factor A,FKILNLMM_00704,GIPBMKFD_00615,BFKFBIFC_00062,AFFLGDGC_00676,DCGIHJJB_01088,AIKGDNKA_00082,MAIBJLIG_00694,CEAADGFG_00824,FJPIOAPD_00620,MHMPKAEF_00588,MKDEPHEP_00534,GNEALLOE_00411,JKACDCNN_01121,PONOIEHE_01170,FIBOILMM_00030,APCAEHFD_00825,FLPEIIEP_01080,NBBAMHOG_01223,HINIEJCA_00882,OMIKPLOJ_00893,OPLHJKPH_00904,NBLOMMJF_01142,OLMEONEL_00422,KDJKPMPD_00475,NDDDCALJ_01221,DLEBNMND_00043,GEPBNDCO_00577,DFOKPGIE_00345,BEKPBNEK_00423,EAAKBJBK_01109,FMNIPFCJ_01180,GHGEDPDF_00878,OJJBDPGP_00262,NKJPJJEP_00229,OBLOJFDA_00811,NLALJHLH_00910,MJDADDMM_00812,EDKPEHFM_00923,GKLKKKNA_00641,LGNAKCJL_00862,IDKOCMBL_00518,CFGPDMND_00883,DCIIGEBB_00364,CBECPNCO_01281,HGINDJMA_00886,DBLHLLOB_01259,MMPGJHDA_00012,EPGGAPPC_00517,MGJCNIPK_01454,AKIABIOK_01012,HEOIIJDM_00519,GDFGBGJM_00882,LKPJNLPD_00947,CLLCJGKF_00128,CHHPHLEM_00530,NPJENFAK_01125,ANLJHCED_01261,JMCHCOOD_00899,OBBOBBAE_00114,ODKBPENJ_00171,AMOGCKBM_00683
dus,dus,putative tRNA-dihydrouridine synthase,FKILNLMM_00491,GIPBMKFD_00811,BFKFBIFC_00425,AFFLGDGC_00749,DCGIHJJB_00323,AIKGDNKA_00426,MAIBJLIG_00635,CEAADGFG_00199,FJPIOAPD_00028,MHMPKAEF_01231,MKDEPHEP_01056,GNEALLOE_00910,JKACDCNN_00330,PONOIEHE_00837,FIBOILMM_00723,APCAEHFD_00853,FLPEIIEP_00767,NBBAMHOG_00173,HINIEJCA_00563,OMIKPLOJ_00793,OPLHJKPH_01008,NBLOMMJF_00671,OLMEONEL_00997,KDJKPMPD_00891,NDDDCALJ_00035,DLEBNMND_00939,GEPBNDCO_01091,DFOKPGIE_01199,BEKPBNEK_00764,EAAKBJBK_00691,FMNIPFCJ_00923,GHGEDPDF_01110,OJJBDPGP_00538,NKJPJJEP_00419,OBLOJFDA_00244,NLALJHLH_00556,MJDADDMM_00072,EDKPEHFM_00572,GKLKKKNA_00878,LGNAKCJL_00705,IDKOCMBL_00359,CFGPDMND_00051,DCIIGEBB_01093,CBECPNCO_00775,HGINDJMA_00478,DBLHLLOB_00429,MMPGJHDA_00449,EPGGAPPC_00415,MGJCNIPK_00371,AKIABIOK_01118,HEOIIJDM_00507,GDFGBGJM_00625,LKPJNLPD_00474,CLLCJGKF_01062,CHHPHLEM_00107,NPJENFAK_00834,ANLJHCED_00242,JMCHCOOD_00027,OBBOBBAE_00789,ODKBPENJ_00842,AMOGCKBM_01037
group_2532,,hypothetical protein,FKILNLMM_00204,GIPBMKFD_00301,BFKFBIFC_00205,AFFLGDGC_00340,DCGIHJJB_01304,AIKGDNKA_00868,MAIBJLIG_00794,CEAADGFG_00095,FJPIOAPD_00449,MHMPKAEF_00686,MKDEPHEP_00444,GNEALLOE_00542,JKACDCNN_00830,PONOIEHE_01044,FIBOILMM_00121,APCAEHFD_00476,FLPEIIEP_00215,NBBAMHOG_00791,HINIEJCA_00693,OMIKPLOJ_00030,OPLHJKPH_00815,NBLOMMJF_00051,OLMEONEL_00136,KDJKPMPD_00921,NDDDCALJ_01117,DLEBNMND_00139,GEPBNDCO_00480,DFOKPGIE_00253,BEKPBNEK_00959,EAAKBJBK_00991,FMNIPFCJ_00388,GHGEDPDF_01067,OJJBDPGP_00100,NKJPJJEP_00333,OBLOJFDA_01047,NLALJHLH_00439,MJDADDMM_00762,EDKPEHFM_00083,GKLKKKNA_00997,LGNAKCJL_01076,IDKOCMBL_01010,CFGPDMND_00439,DCIIGEBB_00641,CBECPNCO_00560,HGINDJMA_01004,DBLHLLOB_01206,MMPGJHDA_00105,EPGGAPPC_00860,MGJCNIPK_00041,AKIABIOK_00661,HEOIIJDM_01374,GDFGBGJM_00409,LKPJNLPD_01116,CLLCJGKF_00221,CHHPHLEM_01112,NPJENFAK_00248,ANLJHCED_01322,JMCHCOOD_00543,OBBOBBAE_00023,ODKBPENJ_00071,AMOGCKBM_00593
truA,truA,tRNA pseudouridine synthase A,FKILNLMM_00699,GIPBMKFD_00620,BFKFBIFC_00068,AFFLGDGC_00681,DCGIHJJB_01215,AIKGDNKA_00919,MAIBJLIG_00700,CEAADGFG_01075,FJPIOAPD_00626,MHMPKAEF_00593,MKDEPHEP_00529,GNEALLOE_00602,JKACDCNN_01127,PONOIEHE_01165,FIBOILMM_00035,APCAEHFD_00416,FLPEIIEP_01071,NBBAMHOG_01269,HINIEJCA_00887,OMIKPLOJ_00888,OPLHJKPH_00899,NBLOMMJF_00111,OLMEONEL_00948,KDJKPMPD_00481,NDDDCALJ_01177,DLEBNMND_00048,GEPBNDCO_00572,DFOKPGIE_00340,BEKPBNEK_00428,EAAKBJBK_01269,FMNIPFCJ_01175,GHGEDPDF_01028,OJJBDPGP_00267,NKJPJJEP_00241,OBLOJFDA_00816,NLALJHLH_00915,MJDADDMM_00807,EDKPEHFM_00928,GKLKKKNA_00636,LGNAKCJL_01289,IDKOCMBL_01132,CFGPDMND_00878,DCIIGEBB_00777,CBECPNCO_00626,HGINDJMA_00891,DBLHLLOB_01099,MMPGJHDA_00017,EPGGAPPC_00523,MGJCNIPK_00396,AKIABIOK_01020,HEOIIJDM_00213,GDFGBGJM_00349,LKPJNLPD_00200,CLLCJGKF_00133,CHHPHLEM_01346,NPJENFAK_01279,ANLJHCED_01302,JMCHCOOD_00868,OBBOBBAE_00109,ODKBPENJ_00166,AMOGCKBM_00678
group_2395,,putative protein,FKILNLMM_00515,GIPBMKFD_00788,BFKFBIFC_00430,AFFLGDGC_00726,DCGIHJJB_00829,AIKGDNKA_00930,MAIBJLIG_00611,CEAADGFG_00194,FJPIOAPD_00023,MHMPKAEF_00478,MKDEPHEP_01089,GNEALLOE_00933,JKACDCNN_00353,PONOIEHE_00786,FIBOILMM_00700,APCAEHFD_00899,FLPEIIEP_00790,NBBAMHOG_00362,HINIEJCA_00586,OMIKPLOJ_00816,OPLHJKPH_00985,NBLOMMJF_01060,OLMEONEL_00830,KDJKPMPD_00896,NDDDCALJ_00019,DLEBNMND_00864,GEPBNDCO_00884,DFOKPGIE_00809,BEKPBNEK_00741,EAAKBJBK_00954,FMNIPFCJ_00946,GHGEDPDF_00170,OJJBDPGP_00789,NKJPJJEP_00776,OBLOJFDA_00267,NLALJHLH_00660,MJDADDMM_00021,EDKPEHFM_00623,GKLKKKNA_00866,LGNAKCJL_00672,IDKOCMBL_00275,CFGPDMND_00948,DCIIGEBB_00067,CBECPNCO_00475,HGINDJMA_00501,DBLHLLOB_00836,MMPGJHDA_00429,EPGGAPPC_00758,MGJCNIPK_01114,AKIABIOK_00617,HEOIIJDM_00535,GDFGBGJM_01352,LKPJNLPD_00513,CLLCJGKF_01039,CHHPHLEM_00147,NPJENFAK_00933,ANLJHCED_01140,JMCHCOOD_00435,OBBOBBAE_00446,ODKBPENJ_00283,AMOGCKBM_01060
exoA,exoA,Exodeoxyribonuclease,FKILNLMM_00526,GIPBMKFD_00777,BFKFBIFC_00376,AFFLGDGC_00715,DCGIHJJB_00864,AIKGDNKA_00530,MAIBJLIG_00600,CEAADGFG_00994,FJPIOAPD_00862,MHMPKAEF_00415,MKDEPHEP_01100,GNEALLOE_00944,JKACDCNN_00364,PONOIEHE_00775,FIBOILMM_00689,APCAEHFD_00888,FLPEIIEP_00801,NBBAMHOG_00701,HINIEJCA_00597,OMIKPLOJ_00827,OPLHJKPH_00974,NBLOMMJF_01252,OLMEONEL_00344,KDJKPMPD_00660,NDDDCALJ_00466,DLEBNMND_00807,GEPBNDCO_00823,DFOKPGIE_00820,BEKPBNEK_00730,EAAKBJBK_01074,FMNIPFCJ_00957,GHGEDPDF_00181,OJJBDPGP_00779,NKJPJJEP_01122,OBLOJFDA_00278,NLALJHLH_00600,MJDADDMM_00009,EDKPEHFM_00634,GKLKKKNA_00247,LGNAKCJL_00661,IDKOCMBL_00918,CFGPDMND_01133,DCIIGEBB_00555,CBECPNCO_00440,HGINDJMA_00512,DBLHLLOB_00870,MMPGJHDA_00418,EPGGAPPC_00769,MGJCNIPK_00816,AKIABIOK_00606,HEOIIJDM_00838,GDFGBGJM_00987,LKPJNLPD_01064,CLLCJGKF_01028,CHHPHLEM_01179,NPJENFAK_00922,ANLJHCED_01336,JMCHCOOD_00396,OBBOBBAE_00435,ODKBPENJ_00341,AMOGCKBM_01071
pfkB,pfkB,ATP-dependent 6-phosphofructokinase,FKILNLMM_00498,GIPBMKFD_00804,BFKFBIFC_00442,AFFLGDGC_00742,DCGIHJJB_00950,AIKGDNKA_00178,MAIBJLIG_00627,CEAADGFG_00181,FJPIOAPD_00011,MHMPKAEF_00850,MKDEPHEP_01073,GNEALLOE_00917,JKACDCNN_00337,PONOIEHE_00802,FIBOILMM_00716,APCAEHFD_00915,FLPEIIEP_00774,NBBAMHOG_00269,HINIEJCA_00570,OMIKPLOJ_00800,OPLHJKPH_01001,NBLOMMJF_00184,OLMEONEL_00484,KDJKPMPD_00908,NDDDCALJ_00950,DLEBNMND_00706,GEPBNDCO_00801,DFOKPGIE_00793,BEKPBNEK_00757,EAAKBJBK_00329,FMNIPFCJ_00930,GHGEDPDF_01131,OJJBDPGP_00531,NKJPJJEP_00936,OBLOJFDA_00251,NLALJHLH_00818,MJDADDMM_00037,EDKPEHFM_00607,GKLKKKNA_00318,LGNAKCJL_00688,IDKOCMBL_00552,CFGPDMND_00144,DCIIGEBB_00308,CBECPNCO_01163,HGINDJMA_00485,DBLHLLOB_01047,MMPGJHDA_00442,EPGGAPPC_00422,MGJCNIPK_01301,AKIABIOK_00633,HEOIIJDM_00674,GDFGBGJM_01156,LKPJNLPD_00412,CLLCJGKF_01055,CHHPHLEM_01087,NPJENFAK_00841,ANLJHCED_01440,JMCHCOOD_00637,OBBOBBAE_00462,ODKBPENJ_00934,AMOGCKBM_01044
folC,folC,Dihydrofolate synthase/folylpolyglutamate synthase,FKILNLMM_00501,GIPBMKFD_00802,BFKFBIFC_00440,AFFLGDGC_00740,DCGIHJJB_00947,AIKGDNKA_00180,MAIBJLIG_00625,CEAADGFG_00184,FJPIOAPD_00013,MHMPKAEF_00853,MKDEPHEP_01075,GNEALLOE_00919,JKACDCNN_00339,PONOIEHE_00800,FIBOILMM_00714,APCAEHFD_00913,FLPEIIEP_00776,NBBAMHOG_00266,HINIEJCA_00572,OMIKPLOJ_00802,OPLHJKPH_00999,NBLOMMJF_01316,OLMEONEL_00481,KDJKPMPD_00906,NDDDCALJ_00947,DLEBNMND_00710,GEPBNDCO_01172,DFOKPGIE_00795,BEKPBNEK_00755,EAAKBJBK_00326,FMNIPFCJ_00932,GHGEDPDF_00159,OJJBDPGP_00529,NKJPJJEP_00931,OBLOJFDA_00253,NLALJHLH_00466,MJDADDMM_00035,EDKPEHFM_00609,GKLKKKNA_00321,LGNAKCJL_00686,IDKOCMBL_00555,CFGPDMND_00141,DCIIGEBB_00305,CBECPNCO_01166,HGINDJMA_00487,DBLHLLOB_01050,MMPGJHDA_00440,EPGGAPPC_00424,MGJCNIPK_01303,AKIABIOK_00631,HEOIIJDM_00671,GDFGBGJM_01159,LKPJNLPD_00409,CLLCJGKF_01053,CHHPHLEM_00752,NPJENFAK_00843,ANLJHCED_00852,JMCHCOOD_00640,OBBOBBAE_00460,ODKBPENJ_00931,AMOGCKBM_01046
nusA,nusA,Transcription termination/antitermination protein NusA,FKILNLMM_00702,GIPBMKFD_00617,BFKFBIFC_00064,AFFLGDGC_00678,DCGIHJJB_01090,AIKGDNKA_00080,MAIBJLIG_00696,CEAADGFG_00822,FJPIOAPD_00622,MHMPKAEF_00590,MKDEPHEP_00532,GNEALLOE_00409,JKACDCNN_01123,PONOIEHE_01168,FIBOILMM_00032,APCAEHFD_00827,FLPEIIEP_01078,NBBAMHOG_01225,HINIEJCA_00884,OMIKPLOJ_00891,OPLHJKPH_00902,NBLOMMJF_01140,OLMEONEL_00951,KDJKPMPD_00477,NDDDCALJ_01219,DLEBNMND_00045,GEPBNDCO_00575,DFOKPGIE_00343,BEKPBNEK_00425,EAAKBJBK_01107,FMNIPFCJ_01178,GHGEDPDF_01032,OJJBDPGP_00264,NKJPJJEP_00231,OBLOJFDA_00813,NLALJHLH_00912,MJDADDMM_00810,EDKPEHFM_00925,GKLKKKNA_00639,LGNAKCJL_00864,IDKOCMBL_00516,CFGPDMND_00881,DCIIGEBB_00362,CBECPNCO_01283,HGINDJMA_00888,DBLHLLOB_01257,MMPGJHDA_00014,EPGGAPPC_00519,MGJCNIPK_01509,AKIABIOK_01017,HEOIIJDM_00517,GDFGBGJM_00880,LKPJNLPD_00961,CLLCJGKF_00130,CHHPHLEM_00532,NPJENFAK_01123,ANLJHCED_00586,JMCHCOOD_00897,OBBOBBAE_00112,ODKBPENJ_00169,AMOGCKBM_00681
infB,infB;,Translation initiation factor IF-2;hypothetical protein,FKILNLMM_00703,GIPBMKFD_00616,BFKFBIFC_00063,AFFLGDGC_00677,DCGIHJJB_01089,AIKGDNKA_00081,MAIBJLIG_00695,CEAADGFG_00823,FJPIOAPD_00621,MHMPKAEF_00589,MKDEPHEP_00533,GNEALLOE_00410,JKACDCNN_01122,PONOIEHE_01169,FIBOILMM_00031,APCAEHFD_00826,FLPEIIEP_01079,NBBAMHOG_01224,HINIEJCA_00883,OMIKPLOJ_00892,OPLHJKPH_00903,NBLOMMJF_01141,OLMEONEL_00423,KDJKPMPD_00476,NDDDCALJ_01220,DLEBNMND_00044,GEPBNDCO_00576,DFOKPGIE_00344,BEKPBNEK_00424,EAAKBJBK_01108,FMNIPFCJ_01179,GHGEDPDF_00877,OJJBDPGP_00263,NKJPJJEP_00230,OBLOJFDA_00812,NLALJHLH_00911,MJDADDMM_00811,EDKPEHFM_00924,GKLKKKNA_00640,LGNAKCJL_00863,IDKOCMBL_00517,CFGPDMND_00882,DCIIGEBB_00363,CBECPNCO_01282,HGINDJMA_00887,DBLHLLOB_01258,MMPGJHDA_00013,EPGGAPPC_00518,MGJCNIPK_01508,AKIABIOK_01013;AKIABIOK_01016,HEOIIJDM_00518,GDFGBGJM_00881,LKPJNLPD_00959;LKPJNLPD_00948;LKPJNLPD_00960,CLLCJGKF_00129,CHHPHLEM_00531,NPJENFAK_01124,ANLJHCED_00585;ANLJHCED_01262,JMCHCOOD_00898,OBBOBBAE_00113,ODKBPENJ_00170,AMOGCKBM_00682
